tick,lastPrice,best_ValueInvestor,worst_ValueInvestor,avg_ValueInvestor,best_TrendFollower,worst_TrendFollower,avg_TrendFollower,best_StopLoss,worst_StopLoss,avg_StopLoss,best_MarketMaker,worst_MarketMaker,avg_MarketMaker,best_Noise,worst_Noise,avg_Noise
106,4.04123,547.929,520.206,526.606,533.62,520.206,522.018,529.147,520.206,525.272,533.797,520.105,525.032,565.012,355.333,502.103
107,4.19695,546.371,520.985,526.874,532.685,520.985,522.582,529.147,520.985,525.496,533.797,520.105,525.378,565.012,368.88,504.594
108,4.1923,546.418,520.962,526.866,532.713,520.962,522.565,529.147,520.962,525.489,533.797,520.105,525.368,565.012,368.476,504.52
109,4.32823,545.059,521.641,527.099,531.898,521.641,523.057,529.147,521.286,525.685,533.797,520.105,525.669,565.012,379.969,506.695
110,4.42429,544.098,522.121,527.265,531.557,522.121,523.405,529.147,521.286,525.823,533.797,520.105,525.883,565.012,383.042,508.231
111,4.41962,544.145,522.098,527.257,531.557,522.098,523.388,529.147,521.286,525.817,533.797,520.105,525.872,565.012,382.893,508.157
112,4.42877,544.053,522.144,527.272,531.557,522.144,523.421,529.147,521.286,525.83,533.797,520.105,525.893,565.012,382.909,508.303
113,4.30284,545.313,521.514,527.056,532.05,521.514,522.965,529.147,521.286,525.649,533.797,520.105,525.613,561.536,371.827,506.288
114,4.51679,543.173,522.584,527.424,531.557,522.584,523.74,529.147,521.286,525.957,533.797,520.105,526.106,565.986,386.003,509.694
115,4.46672,543.674,522.334,527.338,531.557,522.334,523.559,529.147,521.286,525.885,533.797,520.105,525.996,565.986,384.4,508.891
116,4.35052,544.836,521.753,527.138,531.764,521.753,523.138,529.147,521.286,525.717,533.797,520.105,525.799,565.986,376.023,506.971
117,4.57045,542.637,522.852,527.516,531.557,522.852,523.934,529.147,521.286,526.034,533.797,520.105,526.272,565.986,387.72,510.506
118,4.5936,542.405,522.968,527.556,531.557,522.968,524.018,529.147,521.286,526.067,533.797,520.105,526.321,565.986,388.46,510.878
119,4.74012,540.94,523.701,527.808,531.557,523.154,524.548,529.147,521.286,526.278,533.797,520.105,526.636,565.986,393.149,513.232
120,4.75914,540.75,523.796,527.84,531.557,523.154,524.617,529.147,521.286,526.306,533.797,520.105,526.677,565.986,393.758,513.538
121,4.87826,539.558,524.391,528.045,531.557,523.154,525.049,529.147,521.286,526.477,533.797,520.105,526.933,570.518,397.57,515.452
122,4.88828,539.458,524.441,528.063,531.557,523.154,525.085,529.147,521.286,526.492,533.797,520.105,526.955,570.838,397.89,515.613
123,4.82263,540.115,524.113,527.95,531.557,523.154,524.847,529.147,521.286,526.397,533.797,520.105,526.814,569.808,395.789,514.558
124,4.70839,541.257,523.542,527.753,531.557,523.154,524.434,529.147,521.286,526.233,533.797,520.105,526.58,567.444,392.134,512.711
125,4.69965,541.345,523.498,527.738,531.557,523.154,524.402,529.147,521.286,526.22,533.797,520.105,526.561,568.193,391.854,512.57
126,4.51592,543.182,522.58,527.422,531.557,522.58,523.737,529.147,521.286,525.955,533.797,520.105,526.219,565.986,385.975,509.565
127,4.37629,544.578,521.881,527.182,531.609,521.881,523.231,529.147,521.286,525.754,533.797,520.105,525.962,565.986,380.257,507.277
128,4.5254,543.087,522.627,527.438,531.557,522.627,523.789,529.147,521.286,525.969,533.797,520.105,526.271,565.986,386.278,509.667
129,4.49437,543.397,522.472,527.385,531.557,522.472,523.677,529.147,521.286,525.924,533.797,520.105,526.207,565.986,385.285,509.166
130,4.46008,543.74,522.3,527.326,531.557,522.3,523.554,529.147,521.286,525.875,533.797,520.105,526.136,565.986,384.188,508.611
131,4.44223,543.919,522.211,527.295,531.557,522.211,523.5,529.147,521.286,525.849,533.797,520.105,526.099,566.001,383.617,508.313
132,4.46327,543.708,522.316,527.332,531.557,522.316,523.639,529.147,521.286,525.88,533.797,520.105,526.142,567.41,384.29,508.59
133,4.42366,544.104,522.118,527.263,531.557,522.118,523.499,529.147,521.286,525.822,533.797,520.105,526.06,567.636,383.022,507.946
134,4.33227,545.018,521.661,527.106,531.874,521.661,523.177,529.147,521.286,525.691,533.797,520.105,525.871,566.536,376.69,506.461
135,4.41981,544.143,522.099,527.257,531.557,522.099,523.493,529.147,521.286,525.817,533.797,520.105,526.052,569.133,382.899,507.876
136,4.24218,545.919,521.211,526.951,532.414,521.211,522.87,529.147,521.211,525.561,533.797,520.105,525.685,565.986,369.394,504.988
137,4.10439,547.297,520.522,526.714,533.241,520.522,522.386,529.147,520.522,525.363,533.797,520.105,525.399,565.986,358.232,502.747
138,3.96849,548.656,519.842,526.481,534.056,519.842,521.909,529.147,519.842,525.167,533.797,519.842,525.118,565.986,347.225,500.537
139,3.96131,548.728,519.807,526.468,534.099,519.807,521.895,529.147,519.807,525.157,533.797,519.807,525.114,565.986,346.643,500.399
140,4.133,547.011,520.665,526.764,533.069,520.665,522.504,529.147,520.665,525.404,533.797,520.105,525.468,566.204,360.55,503.186
141,4.04046,547.936,520.202,526.604,533.624,520.202,522.181,529.147,520.202,525.271,533.797,520.105,525.277,565.986,353.054,501.679
142,4.1863,546.478,520.931,526.855,532.749,520.931,522.709,529.147,520.931,525.481,533.797,520.105,525.616,568.834,364.867,503.997
143,4.27732,545.568,521.387,527.012,532.203,521.387,523.025,529.147,521.286,525.612,533.797,520.105,525.8,571.001,372.239,505.485
144,4.42827,544.058,522.141,527.271,531.557,522.141,523.548,529.147,521.286,525.829,533.797,520.105,526.104,573.859,383.17,507.953
145,4.40592,544.282,522.03,527.233,531.557,522.03,523.471,529.147,521.286,525.797,533.797,520.105,526.059,573.569,376.095,507.588
146,4.46651,543.676,522.333,527.337,531.557,522.333,523.681,529.147,521.286,525.884,533.797,520.105,526.182,575.315,380.941,508.578
147,4.60618,542.279,523.031,527.577,531.557,523.031,524.166,529.147,521.286,526.085,533.797,520.105,526.464,577.75,388.863,510.862
148,4.51996,543.141,522.6,527.429,531.557,522.6,523.867,529.147,521.286,525.961,533.797,520.105,526.29,576.802,385.218,509.452
149,4.45376,543.803,522.269,527.315,531.557,522.269,523.637,529.147,521.286,525.866,533.797,520.105,526.156,577.04,379.922,508.37
150,4.53202,543.021,522.66,527.45,531.557,522.66,523.909,529.147,521.286,525.979,533.797,520.105,526.314,578.713,383.007,509.65
151,4.55431,542.798,522.772,527.488,531.557,522.772,523.986,529.147,521.286,526.011,533.797,520.105,526.359,579.764,384.901,510.014
152,4.63636,541.977,523.182,527.629,531.557,523.154,524.271,529.147,521.286,526.129,533.797,520.105,526.525,581.318,389.829,511.355
153,4.42169,544.124,522.108,527.26,531.557,522.108,523.526,529.147,521.286,525.82,533.797,520.105,526.091,580.871,373.628,507.846
154,4.50899,543.251,522.545,527.41,531.557,522.545,523.829,529.147,521.286,525.945,533.797,520.105,526.288,581.395,381.049,509.253
155,4.44913,543.85,522.246,527.307,531.557,522.246,523.621,529.147,521.286,525.859,533.797,520.105,526.168,581.975,375.96,508.273
156,4.26699,545.671,521.335,526.994,532.265,521.335,522.989,529.147,521.286,525.597,533.797,520.105,525.804,582.267,360.479,505.291
157,4.31812,545.16,521.591,527.082,531.958,521.591,523.166,529.147,521.286,525.671,533.797,520.105,525.906,583.427,375.545,506.128
158,4.37495,544.592,521.875,527.18,531.617,521.875,523.363,529.147,521.286,525.752,533.797,520.105,526.019,584.454,366.036,507.059
159,4.28027,545.538,521.401,527.017,532.186,521.401,523.035,529.147,521.286,525.616,533.797,520.105,525.83,585.357,361.302,505.509
160,4.26847,545.656,521.342,526.997,532.256,521.342,522.994,529.147,521.286,525.599,533.797,520.105,525.807,586.359,360.712,505.316
161,4.18183,546.523,520.909,526.848,532.776,520.909,522.693,529.147,520.909,525.474,533.797,520.105,525.633,586.359,356.38,503.897
